name;old_size;new_size;operations;algo;set;action;num
set_80_3_3.txt;81932;64691;876204;haff;3;c;3
set_80_3_3.txt;81932;64758;907404;shan;3;c;3
set_3_1_3.txt;3006831;2185347;28692135;haff;1;c;3
set_3_1_3.txt;3006831;2185676;31696944;shan;1;c;3
set_3_3_3.txt;3006959;2343036;30156418;haff;3;c;3
set_3_3_3.txt;3006959;2343584;33116950;shan;3;c;3
set_3_1_2.txt;3006831;2185404;28692637;haff;1;c;2
set_3_1_2.txt;3006831;2185691;31697075;shan;1;c;2
set_20_3_1.txt;24579;19873;300787;haff;3;c;1
set_20_3_1.txt;24579;19900;274275;shan;3;c;1
set_20_2_2.txt;24581;18203;264780;haff;2;c;2
set_20_2_2.txt;24581;18279;260256;shan;2;c;2
set_3_2_2.txt;3006968;2160275;28490601;haff;2;c;2
set_3_2_2.txt;3006968;2164867;31509101;shan;2;c;2
set_2_3_2.txt;2007354;1564511;20150880;haff;3;c;2
set_2_3_2.txt;2007354;1564958;22110893;shan;3;c;2
set_40_1_1.txt;40965;30004;396444;haff;1;c;1
set_40_1_1.txt;40965;30037;432731;shan;1;c;1
set_60_2_3.txt;65547;47604;652285;haff;2;c;3
set_60_2_3.txt;65547;47787;689696;shan;2;c;3
set_3_3_2.txt;3006935;2343274;30158501;haff;3;c;2
set_3_3_2.txt;3006935;2343808;33118866;shan;3;c;2
set_20_1_2.txt;24579;18111;240250;haff;1;c;2
set_20_1_2.txt;24579;18133;260049;shan;1;c;2
set_1_2_3.txt;1007783;724019;9566749;haff;2;c;3
set_1_2_3.txt;1007783;726368;10565870;shan;2;c;3
set_80_2_2.txt;81934;59309;806795;haff;2;c;2
set_80_2_2.txt;81934;59537;860993;shan;2;c;2
set_20_3_2.txt;24581;19861;300674;haff;3;c;2
set_20_3_2.txt;24581;19890;274189;shan;3;c;2
set_40_3_3.txt;40967;32634;464817;haff;3;c;3
set_40_3_3.txt;40967;32682;454862;shan;3;c;3
set_40_1_3.txt;40965;30009;396490;haff;1;c;3
set_40_1_3.txt;40965;30038;432734;shan;1;c;3
set_80_1_2.txt;81930;59751;787068;haff;1;c;2
set_80_1_2.txt;81930;59806;864508;shan;1;c;2
set_2_2_3.txt;2007378;1441860;19026095;haff;2;c;3
set_2_2_3.txt;2007378;1445039;21032291;shan;2;c;3
set_20_2_3.txt;24581;18222;264945;haff;2;c;3
set_20_2_3.txt;24581;18300;260449;shan;2;c;3
set_100_2_2.txt;106516;76911;1038959;haff;2;c;2
set_100_2_2.txt;106516;77215;1118425;shan;2;c;2
set_1_2_2.txt;1007775;724142;9567815;haff;2;c;2
set_1_2_2.txt;1007775;725761;10560375;shan;2;c;2
set_60_3_2.txt;65546;51878;711745;haff;3;c;2
set_60_3_2.txt;65546;51944;726536;shan;3;c;2
set_1_2_1.txt;1007782;724456;9570675;haff;2;c;1
set_1_2_1.txt;1007782;726084;10563305;shan;2;c;1
set_20_1_3.txt;24579;18107;240222;haff;1;c;3
set_20_1_3.txt;24579;18134;260056;shan;1;c;3
set_100_3_1.txt;106510;83701;1121000;haff;3;c;1
set_100_3_1.txt;106510;83778;1176898;shan;3;c;1
set_40_3_1.txt;40967;32695;465346;haff;3;c;1
set_40_3_1.txt;40967;32745;455427;shan;3;c;1
set_40_3_2.txt;40965;32656;464983;haff;3;c;2
set_40_3_2.txt;40965;32700;455014;shan;3;c;2
set_100_1_1.txt;106509;77611;1021542;haff;1;c;1
set_100_1_1.txt;106509;77676;1123660;shan;1;c;1
set_40_1_2.txt;40965;30000;396406;haff;1;c;2
set_40_1_2.txt;40965;30036;432720;shan;1;c;2
set_1_1_2.txt;1007739;732566;9619823;haff;1;c;2
set_1_1_2.txt;1007739;732706;10623850;shan;1;c;2
set_40_2_3.txt;40970;29947;419643;haff;2;c;3
set_40_2_3.txt;40970;30078;432003;shan;2;c;3
set_80_2_3.txt;81935;59425;807844;haff;2;c;3
set_80_2_3.txt;81935;59651;862022;shan;2;c;3
set_3_2_1.txt;3006951;2159711;28485463;haff;2;c;1
set_3_2_1.txt;3006951;2164260;31503570;shan;2;c;1
set_60_1_1.txt;65544;47860;630888;haff;1;c;1
set_60_1_1.txt;65544;47900;691808;shan;1;c;1
set_60_1_3.txt;65544;47855;630823;haff;1;c;3
set_60_1_3.txt;65544;47901;691818;shan;1;c;3
set_2_1_2.txt;2007285;1458944;19155871;haff;1;c;2
set_2_1_2.txt;2007285;1459199;21160465;shan;1;c;2
set_80_3_2.txt;81931;64445;874008;haff;3;c;2
set_80_3_2.txt;81931;64520;905259;shan;3;c;2
set_2_1_3.txt;2007285;1458935;19155784;haff;1;c;3
set_2_1_3.txt;2007285;1459190;21160387;shan;1;c;3
set_80_2_1.txt;81931;59301;806727;haff;2;c;1
set_80_2_1.txt;81931;59529;860907;shan;2;c;1
set_80_1_1.txt;81930;59766;787198;haff;1;c;1
set_80_1_1.txt;81930;59810;864542;shan;1;c;1
set_60_2_2.txt;65548;47568;651965;haff;2;c;2
set_60_2_2.txt;65548;47746;689328;shan;2;c;2
set_1_1_1.txt;1007739;732537;9619570;haff;1;c;1
set_1_1_1.txt;1007739;732700;10623794;shan;1;c;1
set_2_3_3.txt;2007350;1564555;20151259;haff;3;c;3
set_2_3_3.txt;2007350;1564924;22110575;shan;3;c;3
set_20_2_1.txt;24582;18202;264761;haff;2;c;1
set_20_2_1.txt;24582;18275;260221;shan;2;c;1
set_20_1_1.txt;24579;18098;240136;haff;1;c;1
set_20_1_1.txt;24579;18130;260024;shan;1;c;1
set_20_3_3.txt;24580;19877;300826;haff;3;c;3
set_20_3_3.txt;24580;19910;274368;shan;3;c;3
set_3_2_3.txt;3006965;2160430;28491992;haff;2;c;3
set_3_2_3.txt;3006965;2164981;31510112;shan;2;c;3
set_1_3_2.txt;1007775;785686;10142719;haff;3;c;2
set_1_3_2.txt;1007775;785979;11101771;shan;3;c;2
set_100_1_2.txt;106509;77601;1021454;haff;1;c;2
set_100_1_2.txt;106509;77669;1123591;shan;1;c;2
set_60_3_1.txt;65548;51786;710936;haff;3;c;1
set_60_3_1.txt;65548;51852;725718;shan;3;c;1
set_40_2_1.txt;40966;29949;419640;haff;2;c;1
set_40_2_1.txt;40966;30069;431910;shan;2;c;1
set_100_2_3.txt;106513;76869;1038575;haff;2;c;3
set_100_2_3.txt;106513;77160;1117921;shan;2;c;3
set_100_3_2.txt;106511;83555;1119749;haff;3;c;2
set_100_3_2.txt;106511;83641;1175669;shan;3;c;2
set_100_1_3.txt;106509;77626;1021673;haff;1;c;3
set_100_1_3.txt;106509;77675;1123645;shan;1;c;3
set_100_3_3.txt;106514;83626;1120396;haff;3;c;3
set_100_3_3.txt;106514;83712;1176322;shan;3;c;3
set_60_1_2.txt;65544;47856;630856;haff;1;c;2
set_60_1_2.txt;65544;47902;691832;shan;1;c;2
set_100_2_1.txt;106512;76829;1038218;haff;2;c;1
set_100_2_1.txt;106512;77126;1117605;shan;2;c;1
set_3_1_1.txt;3006831;2185326;28691943;haff;1;c;1
set_3_1_1.txt;3006831;2185690;31697074;shan;1;c;1
set_2_3_1.txt;2007370;1564668;20152344;haff;3;c;1
set_2_3_1.txt;2007370;1565095;22112189;shan;3;c;1
set_80_1_3.txt;81930;59768;787220;haff;1;c;3
set_80_1_3.txt;81930;59807;864517;shan;1;c;3
set_1_1_3.txt;1007739;732493;9619168;haff;1;c;3
set_1_1_3.txt;1007739;732692;10623719;shan;1;c;3
set_2_2_1.txt;2007381;1441710;19024749;haff;2;c;1
set_2_2_1.txt;2007381;1444790;21030056;shan;2;c;1
set_40_2_2.txt;40966;29988;420002;haff;2;c;2
set_40_2_2.txt;40966;30109;432272;shan;2;c;2
set_2_1_1.txt;2007285;1458962;19156026;haff;1;c;1
set_2_1_1.txt;2007285;1459177;21160273;shan;1;c;1
set_1_3_1.txt;1007785;785493;10140987;haff;3;c;1
set_1_3_1.txt;1007785;785787;11100078;shan;3;c;1
set_60_3_3.txt;65547;51751;710612;haff;3;c;3
set_60_3_3.txt;65547;51811;725342;shan;3;c;3
set_2_2_2.txt;2007375;1442411;19031037;haff;2;c;2
set_2_2_2.txt;2007375;1445513;21036542;shan;2;c;2
set_1_3_3.txt;1007778;785930;10144926;haff;3;c;3
set_1_3_3.txt;1007778;786236;11104094;shan;3;c;3
set_80_3_1.txt;81932;64449;874031;haff;3;c;1
set_80_3_1.txt;81932;64521;905279;shan;3;c;1
set_60_2_1.txt;65547;47573;651999;haff;2;c;1
set_60_2_1.txt;65547;47779;689623;shan;2;c;1
set_3_3_1.txt;3006948;2342968;30155781;haff;3;c;1
set_3_3_1.txt;3006948;2343503;33116178;shan;3;c;1
set_2_2_3.haff;1441860;2007378;26541477;haff;2;d;3
set_60_3_2.haff;51878;65546;989687;haff;3;d;2
set_100_2_3.haff;76869;106513;1435763;haff;2;d;3
set_20_1_3.haff;18107;24579;333749;haff;1;d;3
set_2_2_1.haff;1441710;2007381;26538928;haff;2;d;1
set_3_1_3.haff;2185347;3006831;40159078;haff;1;d;3
set_1_2_3.haff;724019;1007783;13338592;haff;2;d;3
set_1_1_1.haff;732537;1007739;13462217;haff;1;d;1
set_40_3_2.haff;32656;40965;638313;haff;3;d;2
set_40_2_1.haff;29949;40966;572564;haff;2;d;1
set_100_2_1.haff;76829;106512;1435090;haff;2;d;1
set_1_3_3.haff;785930;1007778;14410819;haff;3;d;3
set_100_2_2.haff;76911;106516;1436477;haff;2;d;2
set_3_3_1.haff;2342968;3006948;42879639;haff;3;d;1
set_2_1_3.haff;1458935;2007285;26810523;haff;1;d;3
set_60_1_3.haff;47855;65544;880408;haff;1;d;3
set_2_2_2.haff;1442411;2007375;26550839;haff;2;d;2
set_60_3_3.haff;51751;65547;987537;haff;3;d;3
set_60_1_1.haff;47860;65544;880513;haff;1;d;1
set_1_1_3.haff;732493;1007739;13461470;haff;1;d;3
set_1_3_1.haff;785493;1007785;14403377;haff;3;d;1
set_80_1_2.haff;59751;81930;1099052;haff;1;d;2
set_80_2_3.haff;59425;81935;1114629;haff;2;d;3
set_60_3_1.haff;51786;65548;988139;haff;3;d;1
set_100_3_3.haff;83626;106514;1570386;haff;3;d;3
set_40_1_1.haff;30004;40965;552382;haff;1;d;1
set_60_2_3.haff;47604;65547;897282;haff;2;d;3
set_3_1_1.haff;2185326;3006831;40158720;haff;1;d;1
set_100_1_2.haff;77601;106509;1427075;haff;1;d;2
set_20_1_1.haff;18098;24579;333591;haff;1;d;1
set_20_2_2.haff;18203;24581;356497;haff;2;d;2
set_20_3_3.haff;19877;24580;404692;haff;3;d;3
set_80_1_1.haff;59766;81930;1099302;haff;1;d;1
set_80_3_2.haff;64445;81931;1219717;haff;3;d;2
set_1_2_2.haff;724142;1007775;13340661;haff;2;d;2
set_3_2_3.haff;2160430;3006965;39756757;haff;2;d;3
set_3_2_1.haff;2159711;3006951;39744511;haff;2;d;1
set_2_1_2.haff;1458944;2007285;26810687;haff;1;d;2
set_1_1_2.haff;732566;1007739;13462705;haff;1;d;2
set_20_3_1.haff;19873;24579;404623;haff;3;d;1
set_20_1_2.haff;18111;24579;333814;haff;1;d;2
set_1_3_2.haff;785686;1007775;14406664;haff;3;d;2
set_2_3_2.haff;1564511;2007354;28646276;haff;3;d;2
set_40_3_1.haff;32695;40967;638986;haff;3;d;1
set_80_3_3.haff;64691;81932;1223879;haff;3;d;3
set_100_1_3.haff;77626;106509;1427495;haff;1;d;3
